function_name,file,line_number,return_type,category,subcategory,fuzzing_priority,complexity,is_public_api,is_static,description,full_signature, fuzzed
allocateBtreePage,btree.c,3991,int,B-Tree,Index Management,Critical,Medium,False,True,Index Management function in B-Tree subsystem,"static int allocateBtreePage(BtShared *, MemPage **, Pgno *, Pgno, u8);", True
allocateBtreePage,btree.c,6475,int,B-Tree,Index Management,Critical,Medium,False,True,Index Management function in B-Tree subsystem,static int allocateBtreePage(, True
autoVacuumCommit,btree.c,4174,int,B-Tree,Index Management,Critical,Medium,False,True,Index Management function in B-Tree subsystem,static int autoVacuumCommit(Btree *p){, True
btreeBeginTrans,btree.c,3783,return,B-Tree,Index Management,Critical,Low,False,False,Index Management function in B-Tree subsystem,"return btreeBeginTrans(p,wrflag,pSchemaVersion);", True
btreeCellSizeCheck,btree.c,2258,return,B-Tree,Index Management,Critical,Medium,False,False,Index Management function in B-Tree subsystem,return btreeCellSizeCheck(pPage);, True
btreeClearHasContent,btree.c,682,void,B-Tree,Index Management,Critical,Medium,False,True,Index Management function in B-Tree subsystem,static void btreeClearHasContent(BtShared *pBt){, True
btreeComputeFreeSpace,btree.c,2091,int,B-Tree,Index Management,Critical,High,False,True,Index Management function in B-Tree subsystem,static int btreeComputeFreeSpace(MemPage *pPage){, True
btreeCreateTable,btree.c,10015,int,B-Tree,Index Management,Critical,Medium,False,True,Index Management function in B-Tree subsystem,"static int btreeCreateTable(Btree *p, Pgno *piTable, int createTabFlags){", True
btreeCursor,btree.c,4661,int,B-Tree,Index Management,Critical,Low,False,True,Index Management function in B-Tree subsystem,static int btreeCursor(, True
btreeCursor,btree.c,4751,return,B-Tree,Index Management,Critical,Low,False,False,Index Management function in B-Tree subsystem,"return btreeCursor(p, iTable, wrFlag, pKeyInfo, pCur);", True
btreeCursorWithLock,btree.c,4728,int,B-Tree,Index Management,Critical,Medium,False,True,Index Management function in B-Tree subsystem,static int btreeCursorWithLock(, True
btreeCursorWithLock,btree.c,4749,return,B-Tree,Index Management,Critical,Medium,False,False,Index Management function in B-Tree subsystem,"return btreeCursorWithLock(p, iTable, wrFlag, pKeyInfo, pCur);", True
btreeDropTable,btree.c,10289,int,B-Tree,Index Management,Critical,Low,False,True,Index Management function in B-Tree subsystem,"static int btreeDropTable(Btree *p, Pgno iTable, int *piMoved){", True
btreeEndTransaction,btree.c,4312,void,B-Tree,Index Management,Critical,Medium,False,True,Index Management function in B-Tree subsystem,static void btreeEndTransaction(Btree *p){, True
btreeGetHasContent,btree.c,673,int,B-Tree,Index Management,Critical,Medium,False,True,Index Management function in B-Tree subsystem,"static int btreeGetHasContent(BtShared *pBt, Pgno pgno){", True
btreeGetPage,btree.c,2328,int,B-Tree,Index Management,Critical,Low,False,True,Index Management function in B-Tree subsystem,static int btreeGetPage(, True
btreeGetUnusedPage,btree.c,2449,int,B-Tree,Index Management,Critical,Medium,False,True,Index Management function in B-Tree subsystem,static int btreeGetUnusedPage(, True
btreeHeapInsert,btree.c,10770,void,B-Tree,Index Management,Critical,Low,False,True,Index Management function in B-Tree subsystem,"static void btreeHeapInsert(u32 *aHeap, u32 x){", True
btreeHeapPull,btree.c,10782,int,B-Tree,Index Management,Critical,Low,False,True,Index Management function in B-Tree subsystem,"static int btreeHeapPull(u32 *aHeap, u32 *pOut){", True
btreeInitPage,btree.c,2214,int,B-Tree,Index Management,Critical,Low,False,True,Index Management function in B-Tree subsystem,static int btreeInitPage(MemPage *pPage){, True
btreeInvokeBusyHandler,btree.c,2500,int,B-Tree,Index Management,Critical,High,False,True,Index Management function in B-Tree subsystem,static int btreeInvokeBusyHandler(void *pArg){,True
btreeLast,btree.c,5743,return,B-Tree,Index Management,Critical,Low,False,False,Index Management function in B-Tree subsystem,"return btreeLast(pCur, pRes);", True
btreeMoveto,btree.c,860,int,B-Tree,Index Management,Critical,Low,False,True,Index Management function in B-Tree subsystem,static int btreeMoveto(, True
btreeNext,btree.c,6356,return,B-Tree,Index Management,Critical,Low,False,False,Index Management function in B-Tree subsystem,return btreeNext(pCur);, True
btreeOverwriteCell,btree.c,9320,int,B-Tree,Index Management,Critical,Medium,False,True,Index Management function in B-Tree subsystem,"static int btreeOverwriteCell(BtCursor *pCur, const BtreePayload *pX){", True
btreeOverwriteCell,btree.c,9466,return,B-Tree,Index Management,Critical,Medium,False,False,Index Management function in B-Tree subsystem,"return btreeOverwriteCell(pCur, pX);", True
btreeOverwriteCell,btree.c,9518,return,B-Tree,Index Management,Critical,Medium,False,False,Index Management function in B-Tree subsystem,"return btreeOverwriteCell(pCur, &x2);", True
btreeOverwriteContent,btree.c,9225,int,B-Tree,Index Management,Critical,High,False,True,Index Management function in B-Tree subsystem,static int btreeOverwriteContent(, True
btreeOverwriteContent,btree.c,9331,return,B-Tree,Index Management,Critical,High,False,False,Index Management function in B-Tree subsystem,"return btreeOverwriteContent(pPage, pCur->info.pPayload, pX,", True
btreeOverwriteOverflowCell,btree.c,9335,return,B-Tree,Index Management,Critical,High,False,False,Index Management function in B-Tree subsystem,"return btreeOverwriteOverflowCell(pCur, pX);",True
btreePageFromDbPage,btree.c,2355,return,B-Tree,Index Management,Critical,Medium,False,False,Index Management function in B-Tree subsystem,"return btreePageFromDbPage(pDbPage, pgno, pBt);", True
btreePagecount,btree.c,2364,Pgno,B-Tree,Index Management,Critical,Low,False,True,Index Management function in B-Tree subsystem,static Pgno btreePagecount(BtShared *pBt){, True
btreePagecount,btree.c,2369,return,B-Tree,Index Management,Critical,Low,False,False,Index Management function in B-Tree subsystem,return btreePagecount(p->pBt);, False
btreeParseCell,btree.c,1386,void,B-Tree,Index Management,Critical,Low,False,True,Index Management function in B-Tree subsystem,static void btreeParseCell(, True
btreeParseCellPtr,btree.c,1259,void,B-Tree,Index Management,Critical,Medium,False,True,Index Management function in B-Tree subsystem,static void btreeParseCellPtr(, True
btreeParseCellPtrIndex,btree.c,1347,void,B-Tree,Index Management,Critical,High,False,True,Index Management function in B-Tree subsystem,static void btreeParseCellPtrIndex(,True
btreeParseCellPtrNoPayload,btree.c,1242,void,B-Tree,Index Management,Critical,High,False,True,Index Management function in B-Tree subsystem,static void btreeParseCellPtrNoPayload(,True
btreePayloadToLocal,btree.c,1213,int,B-Tree,Index Management,Critical,Medium,False,True,Index Management function in B-Tree subsystem,"static int btreePayloadToLocal(MemPage *pPage, i64 nPayload){", True
btreePrevious,btree.c,6447,return,B-Tree,Index Management,Critical,Low,False,False,Index Management function in B-Tree subsystem,return btreePrevious(pCur);, True
btreeReleaseAllCursorPages,btree.c,690,void,B-Tree,Index Management,Critical,High,False,True,Index Management function in B-Tree subsystem,static void btreeReleaseAllCursorPages(BtCursor *pCur){, True
btreeRestoreCursorPosition,btree.c,896,int,B-Tree,Index Management,Critical,High,False,True,Index Management function in B-Tree subsystem,static int btreeRestoreCursorPosition(BtCursor *pCur){,True
btreeSetHasContent,btree.c,651,int,B-Tree,Index Management,Critical,Medium,False,True,Index Management function in B-Tree subsystem,"static int btreeSetHasContent(BtShared *pBt, Pgno pgno){", True
btreeSetNPage,btree.c,4475,void,B-Tree,Index Management,Critical,Low,False,True,Index Management function in B-Tree subsystem,"static void btreeSetNPage(BtShared *pBt, MemPage *pPage1){", True
checkTreePage,btree.c,10816,int,B-Tree,Index Management,Critical,Low,False,True,Index Management function in B-Tree subsystem,static int checkTreePage(, True
clearAllSharedCacheTableLocks,btree.c,467,void,B-Tree,Index Management,Critical,High,False,True,Index Management function in B-Tree subsystem,static void clearAllSharedCacheTableLocks(Btree *p){, True
clearDatabasePage,btree.c,10172,int,B-Tree,Index Management,Critical,Medium,False,True,Index Management function in B-Tree subsystem,static int clearDatabasePage(, True
corruptPageError,btree.c,136,int,B-Tree,Index Management,Critical,Medium,False,False,Index Management function in B-Tree subsystem,"int corruptPageError(int lineno, MemPage *p){", True
cursorOnLastPage,btree.c,5964,int,B-Tree,Index Management,Critical,Medium,False,True,Index Management function in B-Tree subsystem,static int cursorOnLastPage(BtCursor *pCur){, True
defragmentPage,btree.c,1613,int,B-Tree,Index Management,Critical,Low,False,True,Index Management function in B-Tree subsystem,"static int defragmentPage(MemPage *pPage, int nMaxFrag){", True
downgradeAllSharedCacheTableLocks,btree.c,513,void,B-Tree,Index Management,Critical,High,False,True,Index Management function in B-Tree subsystem,static void downgradeAllSharedCacheTableLocks(Btree *p){, True
editPage,btree.c,7834,int,B-Tree,Index Management,Critical,Low,False,True,Index Management function in B-Tree subsystem,static int editPage(, False
freePage,btree.c,6931,void,B-Tree,Index Management,Critical,Low,False,True,Index Management function in B-Tree subsystem,"static void freePage(MemPage *pPage, int *pRC){", True
freePage2,btree.c,6797,int,B-Tree,Index Management,Critical,Low,False,True,Index Management function in B-Tree subsystem,"static int freePage2(BtShared *pBt, MemPage *pMemPage, Pgno iPage){", True
freeSpace,btree.c,1918,int,B-Tree,Index Management,Critical,Low,False,True,Index Management function in B-Tree subsystem,"static int freeSpace(MemPage *pPage, int iStart, int iSize){", True
freeTempSpace,btree.c,2906,void,B-Tree,Index Management,Critical,Low,False,True,Index Management function in B-Tree subsystem,static void freeTempSpace(BtShared *pBt){, False
getAndInitPage,btree.c,2375,int,B-Tree,Index Management,Critical,Low,False,True,Index Management function in B-Tree subsystem,static int getAndInitPage(, True
getOverflowPage,btree.c,4979,int,B-Tree,Index Management,Critical,Low,False,True,Index Management function in B-Tree subsystem,static int getOverflowPage(, True
getPageReferenced,btree.c,10609,int,B-Tree,Index Management,Critical,Medium,False,True,Index Management function in B-Tree subsystem,"static int getPageReferenced(IntegrityCk *pCheck, Pgno iPg){", False
hasSharedCacheTableLock,btree.c,218,int,B-Tree,Index Management,Critical,High,False,True,Index Management function in B-Tree subsystem,static int hasSharedCacheTableLock(, True
lockBtree,btree.c,3278,int,B-Tree,Index Management,Critical,Low,False,True,Index Management function in B-Tree subsystem,static int lockBtree(BtShared *pBt){, False
modifyPagePointer,btree.c,3852,int,B-Tree,Index Management,Critical,Medium,False,True,Index Management function in B-Tree subsystem,"static int modifyPagePointer(MemPage *pPage, Pgno iFrom, Pgno iTo, u8 eType){", False
pageFreeArray,btree.c,7764,int,B-Tree,Index Management,Critical,Low,False,True,Index Management function in B-Tree subsystem,static int pageFreeArray(, False
pageInsertArray,btree.c,7698,int,B-Tree,Index Management,Critical,Low,False,True,Index Management function in B-Tree subsystem,static int pageInsertArray(, False
pageReinit,btree.c,2478,void,B-Tree,Index Management,Critical,Low,False,True,Index Management function in B-Tree subsystem,static void pageReinit(DbPage *pData){, False
ptrmapCheckPages,btree.c,8071,int,B-Tree,Index Management,Critical,Medium,False,True,Index Management function in B-Tree subsystem,"static int ptrmapCheckPages(MemPage **apPage, int nPage){", False
ptrmapPageno,btree.c,1036,Pgno,B-Tree,Index Management,Critical,Low,False,True,Index Management function in B-Tree subsystem,"static Pgno ptrmapPageno(BtShared *pBt, Pgno pgno){", False
querySharedCacheTableLock,btree.c,329,int,B-Tree,Index Management,Critical,High,False,True,Index Management function in B-Tree subsystem,"static int querySharedCacheTableLock(Btree *p, Pgno iTab, u8 eLock){", True
rebuildPage,btree.c,7605,int,B-Tree,Index Management,Critical,Low,False,True,Index Management function in B-Tree subsystem,static int rebuildPage(, False
rebuildPage,btree.c,7940,return,B-Tree,Index Management,Critical,Low,False,False,Index Management function in B-Tree subsystem,"return rebuildPage(pCArray, iNew, nNew, pPg);", False
releasePage,btree.c,531,void,B-Tree,Index Management,Critical,Low,False,True,Index Management function in B-Tree subsystem,static void releasePage(MemPage *pPage);         /* Forward reference */, False
releasePage,btree.c,2426,void,B-Tree,Index Management,Critical,Low,False,True,Index Management function in B-Tree subsystem,static void releasePage(MemPage *pPage){, False
releasePageNotNull,btree.c,533,void,B-Tree,Index Management,Critical,Medium,False,True,Index Management function in B-Tree subsystem,static void releasePageNotNull(MemPage *pPage);  /* Forward reference */, False
releasePageNotNull,btree.c,2417,void,B-Tree,Index Management,Critical,Medium,False,True,Index Management function in B-Tree subsystem,static void releasePageNotNull(MemPage *pPage){, False
releasePageOne,btree.c,532,void,B-Tree,Index Management,Critical,Low,False,True,Index Management function in B-Tree subsystem,static void releasePageOne(MemPage *pPage);      /* Forward reference */, False
releasePageOne,btree.c,2429,void,B-Tree,Index Management,Critical,Low,False,True,Index Management function in B-Tree subsystem,static void releasePageOne(MemPage *pPage){, False
relocatePage,btree.c,3916,int,B-Tree,Index Management,Critical,Low,False,True,Index Management function in B-Tree subsystem,static int relocatePage(, False
setPageReferenced,btree.c,10618,void,B-Tree,Index Management,Critical,Medium,False,True,Index Management function in B-Tree subsystem,"static void setPageReferenced(IntegrityCk *pCheck, Pgno iPg){", False
setSharedCacheTableLock,btree.c,401,int,B-Tree,Index Management,Critical,High,False,True,Index Management function in B-Tree subsystem,"static int setSharedCacheTableLock(Btree *p, Pgno iTable, u8 eLock){",True
sharedLockTrace,btree.c,168,void,B-Tree,Index Management,Critical,Low,False,True,Index Management function in B-Tree subsystem,static void sharedLockTrace(, False
sqlite3BtreeBeginStmt,btree.c,4559,int,B-Tree,Index Management,Critical,High,True,False,Index Management function in B-Tree subsystem,"int sqlite3BtreeBeginStmt(Btree *p, int iStatement){", True
sqlite3BtreeBeginTrans,btree.c,3777,int,B-Tree,Index Management,Critical,High,True,False,Index Management function in B-Tree subsystem,"int sqlite3BtreeBeginTrans(Btree *p, int wrflag, int *pSchemaVersion){", True
sqlite3BtreeCheckpoint,btree.c,11296,int,B-Tree,Index Management,Critical,High,True,False,Index Management function in B-Tree subsystem,"int sqlite3BtreeCheckpoint(Btree *p, int eMode, int *pnLog, int *pnCkpt){", True
sqlite3BtreeClearCache,btree.c,11520,void,B-Tree,Index Management,Critical,High,True,False,Index Management function in B-Tree subsystem,void sqlite3BtreeClearCache(Btree *p){, True
sqlite3BtreeClearCursor,btree.c,848,void,B-Tree,Index Management,Critical,High,True,False,Index Management function in B-Tree subsystem,void sqlite3BtreeClearCursor(BtCursor *pCur){, True
sqlite3BtreeClearTable,btree.c,10239,int,B-Tree,Index Management,Critical,High,True,False,Index Management function in B-Tree subsystem,"int sqlite3BtreeClearTable(Btree *p, int iTable, i64 *pnChange){", True
sqlite3BtreeClearTable,btree.c,10266,return,B-Tree,Index Management,Critical,High,True,False,Index Management function in B-Tree subsystem,"return sqlite3BtreeClearTable(pCur->pBtree, pCur->pgnoRoot, 0);", False
sqlite3BtreeClearTableOfCursor,btree.c,10265,int,B-Tree,Index Management,Critical,High,True,False,Index Management function in B-Tree subsystem,int sqlite3BtreeClearTableOfCursor(BtCursor *pCur){, False
sqlite3BtreeClose,btree.c,2917,int,B-Tree,Database Connection,Critical,Medium,True,False,Database Connection function in B-Tree subsystem,int sqlite3BtreeClose(Btree *p){, False
sqlite3BtreeCloseCursor,btree.c,4802,int,B-Tree,Database Connection,Critical,High,True,False,Database Connection function in B-Tree subsystem,int sqlite3BtreeCloseCursor(BtCursor *pCur){, True
sqlite3BtreeClosesWithCursor,btree.c,4773,int,B-Tree,Database Connection,Critical,High,True,False,Database Connection function in B-Tree subsystem,int sqlite3BtreeClosesWithCursor(, True
sqlite3BtreeCommit,btree.c,4406,int,B-Tree,Index Management,Critical,Medium,True,False,Index Management function in B-Tree subsystem,int sqlite3BtreeCommit(Btree *p){, True
sqlite3BtreeCommitPhaseOne,btree.c,4285,int,B-Tree,Index Management,Critical,High,True,False,Index Management function in B-Tree subsystem,"int sqlite3BtreeCommitPhaseOne(Btree *p, const char *zSuperJrnl){", True
sqlite3BtreeCommitPhaseTwo,btree.c,4374,int,B-Tree,Index Management,Critical,High,True,False,Index Management function in B-Tree subsystem,"int sqlite3BtreeCommitPhaseTwo(Btree *p, int bCleanup){", False
sqlite3BtreeConnectionCount,btree.c,11540,int,B-Tree,Index Management,Critical,High,True,False,Index Management function in B-Tree subsystem,int sqlite3BtreeConnectionCount(Btree *p){, False
sqlite3BtreeCount,btree.c,10465,int,B-Tree,Index Management,Critical,Medium,True,False,Index Management function in B-Tree subsystem,"int sqlite3BtreeCount(sqlite3 *db, BtCursor *pCur, i64 *pnEntry){", True
sqlite3BtreeCreateTable,btree.c,10160,int,B-Tree,Index Management,Critical,High,True,False,Index Management function in B-Tree subsystem,"int sqlite3BtreeCreateTable(Btree *p, Pgno *piTable, int flags){", True
sqlite3BtreeCursor,btree.c,4741,int,B-Tree,Index Management,Critical,Medium,True,False,Index Management function in B-Tree subsystem,int sqlite3BtreeCursor(, True
sqlite3BtreeCursorHasHint,btree.c,11500,int,B-Tree,Index Management,Critical,High,True,False,Index Management function in B-Tree subsystem,"int sqlite3BtreeCursorHasHint(BtCursor *pCsr, unsigned int mask){", False
sqlite3BtreeCursorHasMoved,btree.c,939,int,B-Tree,Index Management,Critical,High,True,False,Index Management function in B-Tree subsystem,int sqlite3BtreeCursorHasMoved(BtCursor *pCur){, True
sqlite3BtreeCursorHint,btree.c,995,void,B-Tree,Index Management,Critical,High,True,False,Index Management function in B-Tree subsystem,"void sqlite3BtreeCursorHint(BtCursor *pCur, int eHintType, ...){", False
sqlite3BtreeCursorHintFlags,btree.c,1020,void,B-Tree,Index Management,Critical,High,True,False,Index Management function in B-Tree subsystem,"void sqlite3BtreeCursorHintFlags(BtCursor *pCur, unsigned x){", False
sqlite3BtreeCursorIsValid,btree.c,4878,int,B-Tree,Index Management,Critical,High,True,False,Index Management function in B-Tree subsystem,int sqlite3BtreeCursorIsValid(BtCursor *pCur){, True
sqlite3BtreeCursorIsValidNN,btree.c,4882,int,B-Tree,Index Management,Critical,High,True,False,Index Management function in B-Tree subsystem,int sqlite3BtreeCursorIsValidNN(BtCursor *pCur){, False
sqlite3BtreeCursorPin,btree.c,4904,void,B-Tree,Index Management,Critical,High,True,False,Index Management function in B-Tree subsystem,void sqlite3BtreeCursorPin(BtCursor *pCur){, True
sqlite3BtreeCursorRestore,btree.c,971,int,B-Tree,Index Management,Critical,High,True,False,Index Management function in B-Tree subsystem,"int sqlite3BtreeCursorRestore(BtCursor *pCur, int *pDifferentRow){", False
sqlite3BtreeCursorSize,btree.c,4763,int,B-Tree,Index Management,Critical,High,True,False,Index Management function in B-Tree subsystem,int sqlite3BtreeCursorSize(void){, True
sqlite3BtreeCursorUnpin,btree.c,4908,void,B-Tree,Index Management,Critical,High,True,False,Index Management function in B-Tree subsystem,void sqlite3BtreeCursorUnpin(BtCursor *pCur){, False
sqlite3BtreeCursorZero,btree.c,4794,void,B-Tree,Index Management,Critical,High,True,False,Index Management function in B-Tree subsystem,void sqlite3BtreeCursorZero(BtCursor *p){, False
